캠페인,브랜드,모델,연식,부품계통,리콜월,12개월판정,최근경보월,선행개월,잠재대상대수
24V868000,HYUNDAI,IONIQ 6,2025,ELECTRICAL_BATTERY,2024-11,미탐지,,,145642
24V868000,HYUNDAI,IONIQ 5,2022,ELECTRICAL_BATTERY,2024-11,탐지,2024-10,1.0,145642
24V422000,KIA,SPORTAGE,2024,BRAKES_STEERING,2024-06,미탐지,,,1075
24V106000,HYUNDAI,PALISADE,2024,ENGINE_FUEL,2024-02,미탐지,,,4245
24V962000,KIA,EV9,2024,OTHER,2024-12,탐지,2024-09,3.0,22883
24V962000,KIA,EV9,2025,OTHER,2024-12,미탐지,,,22883
24V283000,HYUNDAI,IONIQ 6,2024,ENGINE_FUEL,2024-04,미탐지,,,2
24V528000,HYUNDAI,VELOSTER N,2022,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,ELANTRA N,2023,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,KONA N,2023,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,KONA N,2022,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,VELOSTER N,2020,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,VELOSTER N,2019,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,VELOSTER N,2021,ENGINE_FUEL,2024-07,미탐지,,,54647
24V528000,HYUNDAI,ELANTRA N,2022,ENGINE_FUEL,2024-07,미탐지,,,54647
24V025000,KIA,CARNIVAL,2022,STRUCTURE_LATCH,2024-01,탐지,2023-07,6.0,101049
24V025000,KIA,SPORTAGE,2023,STRUCTURE_LATCH,2024-01,미탐지,,,101049
24V025000,KIA,CARNIVAL,2023,STRUCTURE_LATCH,2024-01,미탐지,,,101049
24V025000,KIA,SPORTAGE,2024,STRUCTURE_LATCH,2024-01,미탐지,,,101049
24V025000,KIA,CARNIVAL,2024,STRUCTURE_LATCH,2024-01,미탐지,,,101049
24V057000,KIA,EV6,2023,ENGINE_FUEL,2024-01,미탐지,,,1243
24V057000,KIA,NIRO EV,2023,ENGINE_FUEL,2024-01,미탐지,,,1243
24V057000,KIA,NIRO EV,2024,ENGINE_FUEL,2024-01,미탐지,,,1243
24V077000,KIA,TELLURIDE,2024,ENGINE_FUEL,2024-02,미탐지,,,2872
24V107000,HYUNDAI,GENESIS,2015,ELECTRICAL_BATTERY,2024-02,탐지,2023-04,10.1,90907
24V107000,HYUNDAI,GENESIS,2016,ELECTRICAL_BATTERY,2024-02,미탐지,,,90907
24V146000,HYUNDAI,ELANTRA,2016,STRUCTURE_LATCH,2024-02,미탐지,,,186588
24V146000,HYUNDAI,ELANTRA,2015,STRUCTURE_LATCH,2024-02,미탐지,,,186588
24V204000,HYUNDAI,IONIQ 6,2023,ELECTRICAL_BATTERY,2024-03,미탐지,,,99055
24V204000,HYUNDAI,IONIQ 6,2024,ELECTRICAL_BATTERY,2024-03,미탐지,,,99055
